Name,Straße,Hausnummer,PLZ,Ort,Land,Email,Telefonnummer,Website,Produktkategorien
Stockeviks Båtvarv,Varvsvägen,5,450 34,Fiskebäckskil,SE,,+46 523-23170,http://www.stockevik.se/,Werften;Service/Repair;Kran
GBM Marin,Lökholmsvägen,9,457 73,Havstenssund,SE,info@gbm.se,+46 525 19960,https://www.gbm.se/,Tauwerk;Beschläge;Bootszubehör
Båtvårdsvarvet,,,,,SE,,,http://www.batvardsvarvet.se,Werften;Service/Repair;Kran
Ekenäs Varv AB,Skeppsvarvsgatan,10,388 96,Ljungbyholm,SE,info@ekenasvarv.se,+46-70-2150908,http://www.ekenasvarv.se,Werften;Service/Repair;Kran
Nyströms brygga - Saxemara båtvarv,Varvsvägen,20,,Ronneby,SE,niklas@nystroems.se,,http://www.nyströms.se/,Werften;Service/Repair;Kran
Lars-Johan Kroons Båtbyggeri,,,360 42,Braås,SE,info@ljk-batbygg.se,+46-70-249 05 05,http://ljk-batbygg.se/,Werften;Service/Repair;Kran
Hälleviksstrands varv,,,,,SE,,,,Werften;Service/Repair;Kran
Fritzéns,,,,,SE,,,http://www.fritzens.nu/,Tauwerk;Beschläge;Bootszubehör
Studseröds marin,,,,,SE,,,,Werften;Service/Repair;Kran
Blue Marine,,,,,SE,,,http://bluemarine.se/,Werften;Service/Repair;Kran
Onsala Båtbyggare,,,,,SE,stefan@onsalabatbyggare.se,,http://www.onsalabatbyggare.se/,Werften;Service/Repair;Kran
Bröderna Martinsson,,,,,SE,,,http://www.martinssonsvarv.se/,Werften;Service/Repair;Kran
Kvarsebo Båtar AB,Båtbyggarvägen,16,618 93,Kolmården,SE,,,,Werften;Service/Repair;Kran
Kummelnäs varv AB,Pråmvägen,6,13239,Saltsjö-Boo,SE,,,,Werften;Service/Repair;Kran
Bolmsö Marin & Fritid,Bolmsöbron,,34193,Bolmsö,SE,info@bolmsomarin.se,+46 372-940 40,https://www.bolmsomarin.se/,Werften;Service/Repair;Kran
Björksala Varv,,,,,SE,,,,Werften;Service/Repair;Kran
Norrtälje Segelsällskap,,,,,SE,,,,Werften;Service/Repair;Kran
Rosättra,,,,,SE,,,,Werften;Service/Repair;Kran
Lilla Kålviks båtbyggeri,,5044,474 94,Hälleviksstrand,SE,kalvik@spray.se,+46 304-213 31,http://www.lillakalviksbatbyggeri.se/,Werften;Service/Repair;Kran
Fagerviks båtklubb,,,,,SE,,,,Werften;Service/Repair;Kran
Mönsterudds båtvarv,Mönsteruddsvägen,11,139 90,Värmdö,SE,,,,Werften;Service/Repair;Kran
Carlanders Båtvarv,,,,,SE,,,http://www.carlandersbatvarv.se,Werften;Service/Repair;Kran
Swede Ship Marine AB,Varvsvägen,14,47198,Fagerfjäll,SE,info.ssm@swedeship.se,+46304679500,https://swedeship.se/,Werften;Service/Repair;Kran
Blankaholms Varv,,,,,SE,,,,Werften;Service/Repair;Kran
Brandholmens Båtklubb,,,,,SE,,,,Werften;Service/Repair;Kran
