Name,Straße,Hausnummer,PLZ,Ort,Land,Email,Telefonnummer,Website,Produktkategorien
Ship Lift 250 Ton,,,,,NL,,,,Werften;Service/Repair;Kran
Rick Smeenk,,,,,NL,,,,Werften;Service/Repair;Kran
Scheepswerf Groot B.V.,Lingerzijde,25,,Edam,NL,,+31 6 53779476,https://www.varenderfgoededam.nl/,Werften
Menheerse Werf,,,,,NL,,+31 187 482 735,https://www.menheersewerf.nl,Werften;Service/Repair;Kran
Bootservice Theo de Vries,,,,,NL,boogfriesland@hotmail.com,+31 6 54782809,https://bootservicetheodevries.nl/,Werften
Damen Yachting,,,,,NL,,,https://www.damenyachting.com/,Werften;Service/Repair;Kran
Damen Shiprepair,,,,,NL,,,,Werften;Service/Repair;Kran
De Volharding,,,,,NL,,,http://www.scheepswerfdevolharding.nl,Werften;Service/Repair;Kran
Heesen Yachts,,,,,NL,,,https://www.heesenyachts.com/,Werften;Service/Repair;Kran
Vahali Scheepswerf,,,,,NL,,,http://www.vahalishipyards.com/,Werften;Service/Repair;Kran
Royal Bodewes,,,,,NL,,,https://www.royalbodewes.com/,Werften;Service/Repair;Kran
Scheepswerf Ferus Smit B.V,,,,,NL,,,https://www.ferussmit.com/,Werften;Service/Repair;Kran
Breko shipbuilding & repair,,,,,NL,,,https://www.breko.com/nieuwbouw,Werften;Service/Repair;Kran
Scheepswerf Slob,,,,,NL,,,https://www.scheepswerfslob.nl/,Werften;Service/Repair;Kran
Gebroeders Buijs Scheepsbouw,,,,,NL,,,https://www.buijsscheepsbouw.nl/,Werften;Service/Repair;Kran
Vitters Shipyard,,,,,NL,,,https://vitters.business.site/,Werften;Service/Repair;Kran
Scheepswerf Poppen,,,,,NL,,,https://scheepswerfpoppen.nl,Werften;Service/Repair;Kran
Scheepswerf Geertman,,,,,NL,,,https://www.scheepswerfgeertman.nl,Motor;Werften;Service/Repair;Kran
TB Shiprepair Meppel,,,,,NL,,,https://tbshipyards.com/,Werften;Service/Repair;Kran
Bereneiland,,,,,NL,,,,Werften;Service/Repair;Kran
Veka Shipyard Lemmer,,,,,NL,,,https://www.vekagroup.com/locations/dock-lemmer/,Werften;Service/Repair;Kran
Museumhaven en botterwerf,,,,,NL,,,,Werften;Service/Repair;Kran
Van Grevenstein's Scheepswerf,,,,,NL,,,https://www.vangrevenstein.nl,Werften;Service/Repair;Kran
Damen Shiprepair Curaçao,Dokweg,,,,NL,Info-dscu@damen.com,+599 9 733 00 00,https://www.damenshiprepair.com/en/shipyards/damen-shiprepair-curacao,Werften;Service/Repair;Kran
Scheepswerf De Gerlien van Tiem,,,,,NL,,,https://www.gerlienvantiem.com/,Werften;Service/Repair;Kran
