Name,Straße,Hausnummer,PLZ,Ort,Land,Email,Telefonnummer,Website,Produktkategorien
Bernds Bootsdienst,,,,,DE,,,,Tauwerk;Beschläge;Bootszubehör
Baltic Windsport,Warnowufer,65,18057,Rostock,DE,,+493812009555,https://baltic-sport.de/index.php,Tauwerk;Beschläge;Bootszubehör
Oberelbe GmbH,Rudolf-Sendig-Straße,14,1814,Bad Schandau,DE,,,,Werften;Service/Repair;Kran
Bootswerft Palm,Unter den Linden,5,16798,Fürstenberg/Havel,DE,,,,Werften;Service/Repair;Kran
Weise Wassersport,Tizianstraße,53,80638,München,DE,,,,Tauwerk;Beschläge;Bootszubehör
EAGLE Catamarane / Catstadl,Stadelner Straße,27,91735,Muhr am See,DE,catstadl(ät)t-online.de,+49 9831 50 169,https://www.eagle-catamaran.de/,Tauwerk;Beschläge;Bootszubehör
"Rockmann Seilerei, Bürsten",Hildesheimer Straße,37,30169,Hannover,DE,,,,Motor;Rigg;Tauwerk;Beschläge
USE Bootsservice,,,,,DE,bootsbau@u-s-e.org,+49 30 677880125,http://www.use-bootsservice.de/,Werften;Service/Repair;Kran
Schweriner Boots- & Yachthandel Slipservice,,,,,DE,,,,Werften;Service/Repair;Kran
Zubehörshop BMK Yachthafen,,,,,DE,bootszubehoer@bmk-yachthafen.de,+497543933220,https://www.bmk-yachthafen.de/boot-und-equipment/zubehoershop/,Tauwerk;Beschläge;Bootszubehör
Hafen Rheinsberg,,,,,DE,,,,Werften;Service/Repair;Kran
Margot Bloch Segelmacherei,Forstenrieder Allee,199,81476,München,DE,,+49 89 7559488,,Segelmacher
Fassmer Werft,Industriestraße,2,27804,Berne,DE,,,,Werften;Service/Repair;Kran
Deutsche Schlauchboot,Angerweg,5,37632,Eschershausen,DE,markus.bolay@survitecgroup.com,+49 8230 700015,https://www.dwt-sgw.de/foerdernde-mitglieder/mitglieder-a-z/dsb-deutsche-schlauchboot-gmbh,Werften;Sanitär
Barro Aluminium-Bootsbau,,,,,DE,,,,Werften;Service/Repair;Kran;Metallbau
Gebrauchtboothandel Enno Schröder,,,,,DE,,,https://meinboot.eu/,Tauwerk;Beschläge;Bootszubehör
Bootscenter an der B1,Berliner Straße,114,14542,Werder (Havel),DE,,+49 3327 731731,https://bootscenter-b1.de/,Werften;Tauwerk;Beschläge;Bootszubehör
Broszeit Bootsmotorenservice,,,,,DE,,,,Motor;Werften;Service/Repair;Kran
b'segeln,Mehlbydiek,42,24376,Kappeln,DE,info@b-segeln.de,+49 4642 925400,https://www.bsegeln.com,Segelmacher
Krüger & Till,Unter den Linden,17,14542,Werder (Havel),DE,,,https://www.wassersport-werder.de/,Tauwerk;Beschläge;Bootszubehör
"Tim Lenz, Bootsbau",,,,,DE,,,,Werften
Berger Boote,,,,,DE,,,,Werften;Service/Repair;Kran
Q.S. Worseck GmbH,,,,,DE,,+49 3302 499870,https://www.q-s-worseck.de/,Werften;Service/Repair;Kran
Lachmann Werft GbR,,,,,DE,,,https://www.lachmannwerft.de/,Motor;Werften;Service/Repair;Kran
Yachtbau Janssen & Renkhoff,,,,,DE,yachtbau@janssen-renkhoff.de,+49 4642 5038,,Werften;Service/Repair;Kran
