Name,Straße,Hausnummer,PLZ,Ort,Land,Email,Telefonnummer,Website,Produktkategorien
Voyages Rigaudeau,,,,,FR,,,,Segelmacher
Construction Navale Bordeaux,Quai de Brazza,162,33100,Bordeaux,FR,,,,Werften;Service/Repair;Kran
Cale de Carenage,,,,,FR,,,,Werften;Service/Repair;Kran
Ty Plates,,,,,FR,,,,Werften
Martinez,,,,,FR,,,,Werften;Service/Repair;Kran
Méca Marine 73,,,,,FR,,,,Tauwerk;Beschläge;Bootszubehör
MC Azur,Avenue Robert Brun,87,83500,La Seyne-sur-Mer,FR,,,,Werften
AEA Marine,Avenue Marcel Berre,54,83500,La Seyne-sur-Mer,FR,,,,Werften
Chantier Naval Olbia,,,,,FR,,,,Werften;Service/Repair;Kran
Chantier Naval de l'Île Napoléon,,,,,FR,,+33 3 89 61 85 30,,Werften;Service/Repair;Kran
Port-Lavigne Hivernage,,,,,FR,acs.44@wanadoo.fr,+33 2 28 00 11 71,https://www.reparation-bateaux-bouguenais.fr/,Werften;Service/Repair;Kran;Navigation/Instrumente
Lyon Nautic,,,,,FR,,,,Werften;Service/Repair;Kran
Alexandre Nautic,,,,,FR,,,,Tauwerk;Beschläge;Bootszubehör
Chantier Naval Garnier,,,,,FR,,,,Werften;Service/Repair;Kran
L'Aigle Pêcheur,,,,,FR,jf.mornico2@orange.fr,+33 3 84 25 49 31,http://www.aiglepecheur.fr,Tauwerk;Beschläge;Bootszubehör
Voilerie J,,,,,FR,,,,Segelmacher;Tauwerk;Beschläge;Bootszubehör
Chantier Naval du Golfe,,,,,FR,,,,Werften
Chantier Au Fil du Bois,Quai Louis Hais,4,29150,Port-Launay,FR,,,,Werften;Service/Repair;Kran
Arzal Nautique,,,,,FR,,,,Werften
Marinarzal,,,,,FR,,,,Werften
Voilerie sellerie,,,,,FR,,,,Segelmacher;Persenning;Polster/Sattlerei
Aire de Carénage,,,,,FR,,,,Werften;Service/Repair;Kran
West Marine,,,,,FR,,,,Werften;Service/Repair;Kran
TDC Nautic,,,,,FR,,,,Tauwerk;Beschläge;Bootszubehör
Chantier Naval Allemand,,,,,FR,contact@chantier-allemand.com,+33467942419,http://www.chantier-allemand.com/,Motor;Werften;Service/Repair;Kran
