Name,Straße,Hausnummer,PLZ,Ort,Land,Email,Telefonnummer,Website,Produktkategorien
Survitec Group,Route de Chatenet,,17210,Chevanceaux,FR,,,,Werften;Service/Repair;Kran
CSB Marine,,,,,FR,,+33 3 25 92 94 17,https://www.csbmarine.com/,Tauwerk;Beschläge;Bootszubehör
Saint-Vaast Marine,Rue Maréchal Foch,166,50550,Saint-Vaast-la-Hougue,FR,contact@saintvaastmarine.com,+33 2 33 43 90 80,https://www.saintvaastmarine.com/,Tauwerk;Beschläge;Bootszubehör
Massif Marine,Rue des Ramendeurs,8,,,FR,,,,Tauwerk;Beschläge;Bootszubehör
Soleil Levant,,,,,FR,soleil.levant83@orange.fr,+33 4 94 95 18 72,,Werften;Service/Repair;Kran
Zone de carénage de Tréboul,,,,,FR,port.de.plaisance@mairie-douarnenez.fr,,,Werften;Service/Repair;Kran
Marinalu Boat Services (MBS),Z.I. Uturaerae,,98735,Uturoa,FR,,+68987227965,https://mbs.marinalu.pf,Tauwerk;Beschläge;Metallbau;Bootszubehör
Marinalu,Z.I. Uturaerae,,98735,Uturoa,FR,,+689 40 66 25 04,https://marinalu.pf,Werften;Metallbau
Port de Chandon,,,,,FR,,,,Werften;Service/Repair;Kran
STRATIMER,Rue de la République,23b,29780,Plouhinec,FR,,+33 2 98 75 01 77,,Werften
Atelier de carénage,,,,,FR,,,,Werften;Service/Repair;Kran
S.E.E. Merré,,,,,FR,,,,Werften;Service/Repair;Kran
Chantier Naval du Rieul,,,,,FR,,,,Werften;Service/Repair;Kran
Chantier Marée Haute,,,,,FR,,,,Werften;Service/Repair;Kran
