Name,Straße,Hausnummer,PLZ,Ort,Land,Email,Telefonnummer,Website,Produktkategorien
Heinolan Veneveistämö,Ruukintie,23,,,FI,,,https://www.puuveneveistajat.fi/heinolan-veneveistamo/,Werften
Veneveistämö R. Tuovinen,,,,,FI,,,,Werften
Blue Ocean Oy,Ojangonkaari,14,2480,Kirkkonummi,FI,,,,Tauwerk;Beschläge;Bootszubehör
Finnmaster Boats Oy,Yrittäjäntie,4,9220,Sammatti,FI,,,,Werften;Rigg
Ship & Boat Center Päijänne,,,,,FI,sbcpaijanne@gmail.com,0442392174;0440998885,,Werften;Service/Repair;Kran
Boat ramp,,,,,FI,,,,Werften;Service/Repair;Kran;Hydraulik
Ämmässuon talvisäilytysalue,,,,,FI,,,,Werften;Service/Repair;Kran;Metallbau
Väinölän telakka,,,,,FI,,,https://www.vaino.net/,Werften;Service/Repair;Kran
Louhunsalmi,,,,,FI,,,,Werften;Service/Repair;Kran
Haaponiemi,,,,,FI,,,,Werften;Service/Repair;Kran
Venetelakka Niemi Oy,Hahdenniementie,18,21120,Raisio,FI,,,,Werften;Service/Repair;Kran
Satamarine,Kompintie,7,26100,Rauma,FI,marinekeskusrauma@gmail.com,+358 50 551 9176,https://www.satamarine.fi,Werften;Service/Repair;Kran
Mitec Marine,,,,,FI,,,,Tauwerk;Beschläge;Bootszubehör
Kirkkoveneenvalkama,,,,,FI,,,,Werften;Service/Repair;Kran
Urkurinvalkama,,,,,FI,,,,Werften;Service/Repair;Kran
Kulhonvalkama,,,,,FI,,,,Werften;Service/Repair;Kran
Meriterassin venesatama,,,,,FI,,,,Werften;Service/Repair;Kran
