Name,Straße,Hausnummer,PLZ,Ort,Land,Email,Telefonnummer,Website,Produktkategorien
Gjestehavn Lovund,,,,,NO,,,http://gjestehavner.batmagasinet.no/lovund-havn/,
Vikebygd Motorbåtforening,,,,,NO,,+47 92411152,,
Bjoa Båthavn,,,,,NO,,,,
Soria Moria Båtforening,,,,,NO,,,,
Industri & Marine-Diesel,,,,,NO,,,https://imd.no/,Beschläge;Bootszubehör;Tauwerk
Skibs- & Fiskeriutstyr,,,,,NO,,,http://www.skibsogfiskeriutstyr.no/,Beschläge;Bootszubehör;Tauwerk
Kongshavn,,,,,NO,,,,
Kjerknesvågen kai,,,,,NO,,,,
Helgeland båt,,,,,NO,,,,Beschläge;Bootszubehör;Tauwerk
Herøy båtforening,,,,,NO,,,,
Grilstad Marina,,,,,NO,,,,
Langevåg gjestehavn,,,,,NO,,,http://www.b-bl.no/Batlaget/Velkommen.html,
Brandbu småbåtforening,,,,,NO,,,http://www.brandbubaat.net,
Revsnes,,,,,NO,,,,
Olderstad Formidling AS,,,,,NO,,,https://olderstad.no,Beschläge;Bootszubehör;Tauwerk
Bjerkaker Båthavn,,,,,NO,,,,
Torvikbukt gjestehavn,,,,,NO,,,,
Mastrevik kai,,,,,NO,,,,
Røsvik småbåthavn,,,,,NO,,,,
Surnadal småbåthavn,,,,,NO,,,,
Stadsbygd Batsenter,,,,,NO,,,https://www.stadsbygd-batsenter.no/,Beschläge;Bootszubehör;Tauwerk
Arnavik,,,,,NO,,,,
Kiærs Bruk Marina,,,,,NO,,,,
Fjeldberg båthavn,,,,,NO,,,http://www.f-mf.no,
Rød Båtforening,,,,,NO,,,,
Nabbetorp Båtforening,,,,,NO,,,,
Skjørshammer brygge,,,,,NO,,,,
Bastøy,,,,,NO,,,,
Bergen Marinesenter,,,,,NO,,926 91 936,https://www.bergenmarinesenter.no/,Beschläge;Bootszubehör;Tauwerk
Kranfjorden Båthavn,,,,,NO,,,http://www.risor-baat.no/,
Risør havn,,,,,NO,,,,
Kirkenes,,,,,NO,,,,
Lauervik småbåthavn,,,,,NO,,,,
Borhaug gjesthavn,,,,,NO,,,,
Sele havn,,,,,NO,,,,
Agnefest,,,,,NO,,,,
Mandal gjestehavn,,,,,NO,,,https://www.mandal.kommune.no/gjestehavn,
Vikevåg gjestehavn,,,,,NO,,,http://www.vikevaag-baatforening.no,
Hillevågsvannet,,,,,NO,,,,
Kirkehamn gjestehavn,,,,,NO,,,,
Glassverket,,,,,NO,,,,
Røysa Småbåtshavn,,,,,NO,,,,
Askvoll småbåthavn,,,,,NO,,,,
Sandvik,,,,,NO,,,,
Vikedal båthavn,,,,,NO,,,,
Vangsnes,,,,,NO,,,,
Vikøyri,,,,,NO,,,,
Rødtangen Havn,,,,,NO,,,,
Dybfest Marina,,,,,NO,,,,
Døsvik Marina,,,,,NO,,,https://sites.google.com/site/dosvikhavn/Home,
Pernille,,,,,NO,,,,
Frigg,,,,,NO,,,,
Lauerhavna,,,,,NO,,,,
Tangen båtplass,,,,,NO,,,,
Sør Arnøy Småbåt havn,,,,,NO,,,,
Nautic Marine AS,,,,,NO,,,,
Kai 10/11,,,,,NO,havnevakta@tromso.havn.no,+4791107444,https://tromso.havn.no/en/services/small-craft-harbour/,
Lillesand Motorsenter,,,,,NO,,,,Beschläge;Bootszubehör;Tauwerk
Grimstad Baadsenter,,,,,NO,,,,Beschläge;Bootszubehör;Tauwerk
Grimstad gjestehavn,,,,,NO,,,,
Grimstad Bådsenter,,,,,NO,,,https://www.gbaad.no,Beschläge;Bootszubehör;Tauwerk
Padlespesialisten,,,,,NO,,,,Beschläge;Bootszubehör;Tauwerk
Maritim,,,,,NO,,,,Beschläge;Bootszubehör;Tauwerk
Arendal Bådsenter,,,,,NO,,,,Beschläge;Bootszubehör;Tauwerk
Moen Trebåtbyggeri,,,,,NO,,,,Kran;Werften
Risør Trebåtbyggeri,,,,,NO,,,http://woodenboat.net/,Kran;Werften
Valle marina,,,,,NO,,,,
Havsund marina,,,,,NO,,,,
Arendal gjestehavn,,,,,NO,,,https://gjestehavna.no/,
Brattestø Marina,,,,,NO,,,http://brattesto.no/,
Vikerhavn gjesthavn,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Skjærhalden gjestehavn,,,,,NO,,,https://www.hvalergjestehavn.no/,
Skjærhalden Båtforenings småbåthavn,,,,,NO,,,http://www.shbf.no,
Småbåtshavn,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Skjebergkilens Marina,,,,,NO,,,http://www.skjebergkilensmarina.no/,
Småbåtshavn,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Tønsberg Seilforening,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Horten Seilforening,,,,,NO,,,https://www.havneweb.no/horten-sf/,
Småbåtshavn,,,,,NO,,,,
Son Spa,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Stavern gjestehavn,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Ula Småbåtshavn,,,,,NO,,,https://ula.no/for-besokende/,
Småbåtshavn,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Havnebakken Småbåtshavn,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Kjerringvik Nordhavna,,,,,NO,,,https://kjerringvik.com/,
Kjerringvik Sydhavna,,,,,NO,havnaKVB@kjerringvik.com,,https://kjerringvik.com/,
Småbåtshavn,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Krukehavn,,,,,NO,,,,
Havna Tjøme gjestehavn,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Holtekilen småbåthavn,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Småbåtshavn Aker Brygge,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Småbåthavn Hovedøya,,,,,NO,,,,
Småbåthavn Padda,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Papperhavn,,,,,NO,,,,
Son gjestehavn,,,,,NO,,,,
Langesunds småbåtshavn,,,,,NO,,,,
Kongshavn,,,,,NO,,,,
Dampskipsbrygga,,,,,NO,,,,
Trårnbrygga,,,,,NO,,,,
Småbåthavn,,,,,NO,,,,
Sarpsborg Marina,,,,,NO,,,http://www.sarpsborgmarina.no/,
Utgårdskilen Båtforening,,,,,NO,,,http://www.utgårdskilenbåtforening.no/,
Fredrikstad gjestehavn,,,,,NO,,,,
Marnet Marine Park,,,,,NO,,,http://www.marnet.no,
Gressvik Båtforening,,,,,NO,,,http://www.gressvikbf.no,
Vikerkilen Slipp,,,,,NO,,,,
Skipstadsand småbåthavn,,,,,NO,,,,
Edholmen Marina,,,,,NO,,,,
Fevåg Marina,,,,,NO,,,,
Hankøhavna,,,,,NO,,,,
Helgeroa båtforening,,,,,NO,,,,
Geilevika,,,,,NO,,,,
Saga Boats,,,,,NO,,,https://sagaboats.no/,Beschläge;Bootszubehör;Tauwerk
Naustneset Marina,,,,,NO,,,,
Nordstranda,,,,,NO,,,,
Torheim Småbåtshavn,,,,,NO,,,,
Kragerø gjestehavn,,,,,NO,,,,
Søndeled,,,,,NO,,,,
Finnøyan Seilsenter,,,,,NO,,,,
Sørlandets Feriesenter,,,,,NO,,,,
Vinterstø,,,,,NO,,,,
Lyngør,,,,,NO,,,,
Sagesund,,,,,NO,,,,
Rekefjord,,,,,NO,,,,
Rasvåg,,,,,NO,,,,
Torsøy,,,,,NO,,,,
Båly gjestehavn,,,,,NO,,,,
Furuholmen,,,,,NO,,,,
Åros gjestehavn,,,,,NO,,,,
Høllen gjestehavn,,,,,NO,,,,
Tømmerstø gjestehavn,,,,,NO,,,,
Arendal Seilforening gjestehavn,,,,,NO,,,,
Fevik smbåthavn,,,,,NO,,,,
Østre Bolæren gjestehavn,,,,,NO,,,,
Gjestehavn,,,,,NO,,,,
Østre Vallesverd,,,,,NO,,,,
Sandnes Maritime Sysenter,,,,,NO,,,,Segelmacher
Skulpturmoloen,,,,,NO,,,,
BestMarin,,,,,NO,bergen.sentrum@bestmarin.no,+4755319920,https://marinesenteret.com/,Beschläge;Bootszubehör;Tauwerk
Båt Berge AS,,,,,NO,post@batberge.no,+47 55 32 03 00,https://batberge.no/,Beschläge;Bootszubehör;Tauwerk
Vest båtservice,,,,,NO,post@vestbatservice.no,+47 56 13 70 10,https://www.vestbatservice.no/,Beschläge;Bootszubehör;Tauwerk
Kristiansand feriesenter gjestehavn,,,,,NO,,,,
Sand båtforening,,,,,NO,,,,
Moss motorbåtforening,,,,,NO,,,,
Larsnes,,,,,NO,,,,
Stordal,,,,,NO,,,,
Roald,,,,,NO,,,,
Nikøy,,,,,NO,,,,
Svanøy,,,,,NO,,,,
Halden gjestehavn,,,,,NO,,,https://www.halden.kommune.no/tjenester/miljo-og-teknisk/havn/gjestehavn/,
Moss gjestehavn,,,,,NO,,,,
Stathelle gjestebrygge,,,,,NO,,,,
Hjellebrygga gjestehavn,,,,,NO,,,,
Down Town gjestebrygge,,,,,NO,,,,
Nordsjø Ferieland gjestebrygge,,,,,NO,,,,
Lårdal gjestebrygge,,,,,NO,,,,
Løveid sluse gjestehavn,,,,,NO,,,,
Langøya gjestehavn,,,,,NO,,,,
Ulefoss gjestehavn,,,,,NO,,,,
Porsgrunn gjestebrygge,,,,,NO,,,,
Langbryggene gjestehavn,,,,,NO,,,,
Brevik,,,,,NO,,,,
Skudeneshavn gjestehavn,,,,,NO,,,http://www.skudeneshavnbatforening.no,
Forsandøyren,,,,,NO,,,,
Sirevåg gjestehavn,,,,,NO,,,,
Rabben marina,,,,,NO,,,,
Hasselvika,,,,,NO,,,,
Ulvik,,,,,NO,,,,
Øystese,,,,,NO,,,,
Herand,,,,,NO,,,,
Etne,,,,,NO,,,,
Lykling gjestehamn,,,,,NO,,,,
Våge gjestehamn,,,,,NO,,,,
Jondal gjestehamn,,,,,NO,,,,
Kaien Førde,,,,,NO,,,,
Høylandsbygd,,,,,NO,,,,
Brandasund,,,,,NO,,,,
Rosendal Fjordhotel,,,,,NO,,,,
Odda gjestehamn,,,,,NO,,,,
Norheimsund gjestehamn,,,,,NO,,,,
Biekronå,,,,,NO,,,,
Buavåg,,,,,NO,,,,
Skånevik gjestehavn,,,,,NO,,,,
Aga gjestehamn,,,,,NO,,,,
Mosterhamn,,,,,NO,,,,
Husnes,,,,,NO,,,,
Sundal gjestekai,,,,,NO,,,,
Larsstø,,,,,NO,,,,
Kulleseidkanalen gjestehamn,,,,,NO,,,,
Peter Høeg Seilmaker,,,,,NO,,,https://web.archive.org/web/20170627185345/http://www.seilmakerhoeg.no/,Segelmacher
West System Norge AS,,,,,NO,,,,Beschläge;Bootszubehör;Tauwerk
Båt-Holm AS,,,,,NO,,,,Beschläge;Bootszubehör;Tauwerk
Stokken Båt og Motor,,,,,NO,,,,Beschläge;Bootszubehör;Tauwerk
TB rep og service AS,,,,,NO,,,,Beschläge;Bootszubehör;Tauwerk
Båthuset Arendal,,,,,NO,,,,Beschläge;Bootszubehör;Tauwerk
Stranna Maritime,,,,,NO,,,,Beschläge;Bootszubehör;Tauwerk
Sjøsenteret Risør,,,,,NO,,,,Beschläge;Bootszubehör;Tauwerk
Sjøsenteret Arendal,,,,,NO,,,,Beschläge;Bootszubehör;Tauwerk
Espevær småbåthavn/gjestehavn,,,,,NO,,,,
Småskjæret Båthavn,,,,,NO,,,https://sbhavn.no/,
Soon Skibshandleri,,,,,NO,,+47 97077970,https://www.soonskibshandleri.no/,Beschläge;Bootszubehör;Tauwerk
LI Kaien,,,,,NO,,,,
Dronninghavna,,,,,NO,,,,
Alver kommune,,,,,NO,,,,
Langesvika Småbåthavn,,,,,NO,,,,
Bømlo skipsservice,,,,,NO,,,,
Mikkelparken,,,,,NO,,,,
Øya,,,,,NO,,,,
Marin Elektro,,,,,NO,,,https://www.marinelektro.no/,Beschläge;Bootszubehör;Tauwerk
Farsund Båt og Motor AS,,,,,NO,,,,Beschläge;Bootszubehör;Tauwerk
Bangsund Småbåthavn,,,,,NO,,,,
Nes Marina,,,,,NO,,,,
Tjuvholmen,,,,,NO,,,https://www.tjuvholmen.no/tjuvholmen-bathavn/,
Italmarin,,,,,NO,,+47 483 04 030,https://www.italmarin.no/,Beschläge;Bootszubehör;Tauwerk
Olseng Marina,,,,,NO,,,,
Våle Båthavn,,,,,NO,,,,
Senja by Heart,,,,,NO,,,,
Ålesund Seilforening,,,,,NO,,,,
Ålesund Seilforening,,,,,NO,,,,
Leirvik Gjestehamn,,,,,NO,,,,
Leirvik båthavn,,,,,NO,,,,
Best Marin,,,,,NO,,,,Beschläge;Bootszubehör;Tauwerk
Pollen,,,,,NO,,,,
Waltersbråten Båthavn,,,,,NO,,,https://www.facebook.com/waltersbraaten/,
Vikingodden,,,,,NO,,,,Werften
Seahorse Marina Isbar og båtutstyr,,,,,NO,,,,Beschläge;Bootszubehör;Tauwerk
Kongen Marina,,,,,NO,marina@kongenmarina.no,+47 22 55 40 55,https://www.kongenmarina.no,
Båthavna,,,,,NO,,,,
Nordre Jarlsberg Brygge Båthavna,,,,,NO,,,https://njb.no/bathavna/,
Hauge Produkter,,,,,NO,,,,Segelmacher
Edøen,,,,,NO,post@edoen.no,+47 90282666,https://smola.edoen.no/,Beschläge;Bootszubehör;Tauwerk
Sjølyst Marina,,,,,NO,,,https://sjølystmarina.no,
Odin,,,,,NO,,,,
Skjersholmane,,,,,NO,,,,
Hjeltefjorden Marina,,,,,NO,,,https://www.hjeltefjorden.no/,
Liaskjeret båthamn,,,,,NO,,,,
Litlebergen båtsenter,,,,,NO,,,,Beschläge;Bootszubehör;Tauwerk
Litlebergen,,,,,NO,,,,
Furuholmen marina,,,,,NO,,,,
Herland småbåthavn,,,,,NO,,,,
Iglandsvik marina,,,,,NO,,,,
Utvik,,,,,NO,,,,
Klubbevika,,,,,NO,,,,
Rekefjord Gjestehavn - Malmkaien,,,,,NO,,,,
Sandvågen,,,,,NO,,,,
Guest Marina,,,,,NO,,,,
Norsk Maritimt Kurssenter,,,,,NO,,22622122,,Beschläge;Bootszubehör;Tauwerk
Oslo Motorbåtforening,,,,,NO,post@om1911.no,+47 954 54 531,https://www.om1911.no,
Malfix,,,,,NO,,,,Beschläge;Bootszubehör;Tauwerk
Møre Båtservice,,,,,NO,,,https://www.baatservice.com/,Beschläge;Bootszubehör;Tauwerk
Solnes Båthavn,Solnesveien,100,3159,,NO,post@solnes.eu,+47 48 88 70 99;+47 91 87 28 00,https://www.havneweb.no/solneshavn/,
Melsom båthavn,Solnesveien,5,3159,,NO,,,,
Bogen Båthavn,Bogenveien,111,3160,,NO,bogen@bogenbathavn.no,,http://www.havneweb.no/bogenbathavn/,
Hommelvik Båtforening,,,,,NO,,,,
Valderøy småbåthavn,,,,,NO,,,,
Bjerkvik småbåthavn,,,,,NO,,,,
Sandtaket,,,,,NO,,,,
Båtforeningen Sjekta,,,,,NO,,,,
Solvik,,,,,NO,,,,
Lakseberget,,,,,NO,,,,
Breivik,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Leangbukta Båtforening,,,,,NO,,,http://lean.pressis.com/,
Blakstadtangen,,,,,NO,,,,
Børsholmen,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Vollen marina,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Boganes marina,,,,,NO,,,,
Kaldnes marina,,,,,NO,,,,
Rosanes marina,,,,,NO,,,,
Ollebukta marina,,,,,NO,,,https://www.ollebukta.no/index.php/ollebukta-marina,
Solvik,,,,,NO,,,,
Blommenholm båtforening,,,,,NO,,,,
Nærsnes båtforening,,,,,NO,,,,
Otterdalen,,,,,NO,,,,
Kristiansand gjestehavn,,,,,NO,,,,
Christiansholm,,,,,NO,,,,
Stranda Marina,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Lagahølet,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Sandspollen brygge,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Malmuskippingsanlegg,,,,,NO,,,,
Skotta,,,,,NO,,,,
Larvik båtforening,,,,,NO,,,http://www.larvikbaatforening.com/,
Kuholmen båthavn,,,,,NO,,,,
Auglandsbukta,,,,,NO,,,,
Harstad båtforening,,,,,NO,,,http://www.harstad-båtforening.no,
Terneviga,,,,,NO,,,,
Justvik Båthavn,,,,,NO,,,,
Nodeviga (lille),,,,,NO,,,,
Nodeviga (store),,,,,NO,,,,
Lahelle,,,,,NO,,,,
Tresse,,,,,NO,,,,
Voie/Kyrresundet,,,,,NO,,,,
Hånesbukta,,,,,NO,,,,
Kjøita,,,,,NO,,,,
Prestviga,,,,,NO,,,,
Tangen Båthavn,,,,,NO,,,,
Lepsøya,,,,,NO,,,,
Hyggen båtforening,,,,,NO,,,,
Småbåthavna,,,,,NO,,,,
Solta småbåthavn,,,,,NO,,,,
Nystrand,,,,,NO,,,,
Skjelsvik,,,,,NO,,,,
Helgeroa Småbåthavn,,,,,NO,,,,
Odden marina,,,,,NO,,,,
Dypedal båthavn,,,,,NO,,,http://www.hvalermarinesenter.no,
Bildøy Marina,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Helgeroa Gjestehavn,,,,,NO,,,,
Slemmestad gjestehavn,,,,,NO,,,,
Alværn Marina,,,,,NO,,,,
Narviga,,,,,NO,,,,
Otra (nedre),,,,,NO,,,,
Ronsbukta,,,,,NO,,,,
Kjørrefjord,,,,,NO,,,,
Blommenholm Båtforening,,,,,NO,,,,
Småbåthavna,,,,,NO,,,,
Langøen Båtforening,,,,,NO,,,,
Mågerø Marina,,,,,NO,,,,
Haugestranda,,,,,NO,,,,
Jøllestø,,,,,NO,,,,
Stavestø,,,,,NO,,,,
Verevågen,,,,,NO,,,,
Båtsmann,,,,,NO,,51533515,https://baatsmann.no,Beschläge;Bootszubehör;Tauwerk
Ørnes småbåthavn,,,,,NO,,,,
Drøbak båthavn,,,,,NO,,,,
Drøbak gjestehavn,,,,,NO,,,,
Sonskilen Båthavn,,,,,NO,,,http://www.sonskilen.no/,
Meløy småbåthavn,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Askim havn,,,,,NO,,,,
Nedre Lågen båtforening,,,,,NO,,,https://www.nedrelagenbatforening.net/,
Knarberg Båtforening,,,,,NO,,,,
Liland brygge,,,,,NO,,,,
Tårstad havn,,,,,NO,,,,
Sjåberget,,,,,NO,,,,
Trysnes Marina,,,,,NO,,,,
Tønsberg Marina AS,,,,,NO,,,,
Herføl Marina,,,,,NO,,,,
Fiske båthavn,,,,,NO,,,,
Seatronic AS,,,,,NO,,,https://seatronic.no/,Beschläge;Bootszubehör;Tauwerk
Ulsteinvik Marina,,,,,NO,,,,
Flø Marina,,,,,NO,,,,
Saunes Marina,,,,,NO,,,,
Liavågen Marina,,,,,NO,,,,
Hareid Marina AS,,,,,NO,,,,
Hareid Marina AS,,,,,NO,,,,
Ulstein Marina,,,,,NO,,,,
Sørumsand Båthavn,,,,,NO,,,,
Borgstein Marina2,,,,,NO,,,,
Borgstein Marina,,,,,NO,,,,
Remøy Marina,,,,,NO,,,,
Sykkylven Småbåthavn,,,,,NO,,,,
Farsund gjestehavn Gåseholmen,,,,,NO,,,,
Farsund gjestehavn Verven,,,,,NO,,,,
Stamfisk,,,,,NO,,,,
Vikedal båthavn,,,,,NO,,,https://vikedal-baathavn.no/,
Risør gjestehavn,,,,,NO,,,,
Svelvik motorbåtforening,,,,,NO,,,https://www.renna.no/,
Hurdal båthavn,,,,,NO,,,,
Torvefjorden Båthavn,,,,,NO,,,,
Årnes brygge,,,,,NO,,,https://www.arnesbatforening.com/,
Texacobryggen,,,,,NO,,,,
Union brygge,,,,,NO,,,,
Drammen Roklubb,,,,,NO,,,,
